"rgn_id","habitat","extent_rank"
2,"seagrass",8.73251
11,"seagrass",8.73251
5,"seagrass",8.73251
4,"seagrass",8.73251
3,"seagrass",8.73251
14,"seagrass",8.73251
7,"seagrass",8.73251
1,"seagrass",8.73251
8,"seagrass",8.73251
9,"seagrass",8.73251
10,"seagrass",8.73251
13,"seagrass",8.73251
12,"seagrass",8.73251
6,"seagrass",8.73251
2,"saltmarsh",87.9
11,"saltmarsh",87.9
5,"saltmarsh",87.9
4,"saltmarsh",87.9
3,"saltmarsh",87.9
14,"saltmarsh",87.9
7,"saltmarsh",87.9
1,"saltmarsh",87.9
8,"saltmarsh",87.9
9,"saltmarsh",87.9
10,"saltmarsh",87.9
13,"saltmarsh",87.9
12,"saltmarsh",87.9
6,"saltmarsh",87.9
2,"seaice_shoreline",23223.0392156862
11,"seaice_shoreline",23223.0392156862
5,"seaice_shoreline",23223.0392156862
4,"seaice_shoreline",23223.0392156862
3,"seaice_shoreline",23223.0392156862
14,"seaice_shoreline",23223.0392156862
7,"seaice_shoreline",23223.0392156862
1,"seaice_shoreline",23223.0392156862
8,"seaice_shoreline",23223.0392156862
9,"seaice_shoreline",23223.0392156862
10,"seaice_shoreline",23223.0392156862
13,"seaice_shoreline",23223.0392156862
12,"seaice_shoreline",23223.0392156862
6,"seaice_shoreline",23223.0392156862
