"rgn_id","habitat","km2"
2,"mangrove",0
11,"mangrove",0
5,"mangrove",0
4,"mangrove",0
3,"mangrove",0
14,"mangrove",0
7,"mangrove",0
1,"mangrove",0
8,"mangrove",0
9,"mangrove",0
10,"mangrove",0
13,"mangrove",0
12,"mangrove",0
6,"mangrove",0
2,"rocky_reef",1357.9
11,"rocky_reef",1357.9
5,"rocky_reef",1357.9
4,"rocky_reef",1357.9
3,"rocky_reef",1357.9
14,"rocky_reef",1357.9
7,"rocky_reef",1357.9
1,"rocky_reef",1357.9
8,"rocky_reef",1357.9
9,"rocky_reef",1357.9
10,"rocky_reef",1357.9
13,"rocky_reef",1357.9
12,"rocky_reef",1357.9
6,"rocky_reef",1357.9
2,"seagrass",8.73251
11,"seagrass",8.73251
5,"seagrass",8.73251
4,"seagrass",8.73251
3,"seagrass",8.73251
14,"seagrass",8.73251
7,"seagrass",8.73251
1,"seagrass",8.73251
8,"seagrass",8.73251
9,"seagrass",8.73251
10,"seagrass",8.73251
13,"seagrass",8.73251
12,"seagrass",8.73251
6,"seagrass",8.73251
2,"soft_bottom",147902
11,"soft_bottom",147902
5,"soft_bottom",147902
4,"soft_bottom",147902
3,"soft_bottom",147902
14,"soft_bottom",147902
7,"soft_bottom",147902
1,"soft_bottom",147902
8,"soft_bottom",147902
9,"soft_bottom",147902
10,"soft_bottom",147902
13,"soft_bottom",147902
12,"soft_bottom",147902
6,"soft_bottom",147902
2,"saltmarsh",29.3
11,"saltmarsh",29.3
5,"saltmarsh",29.3
4,"saltmarsh",29.3
3,"saltmarsh",29.3
14,"saltmarsh",29.3
7,"saltmarsh",29.3
1,"saltmarsh",29.3
8,"saltmarsh",29.3
9,"saltmarsh",29.3
10,"saltmarsh",29.3
13,"saltmarsh",29.3
12,"saltmarsh",29.3
6,"saltmarsh",29.3
2,"seaice_edge",12928.9215686274
11,"seaice_edge",12928.9215686274
5,"seaice_edge",12928.9215686274
4,"seaice_edge",12928.9215686274
3,"seaice_edge",12928.9215686274
14,"seaice_edge",12928.9215686274
7,"seaice_edge",12928.9215686274
1,"seaice_edge",12928.9215686274
8,"seaice_edge",12928.9215686274
9,"seaice_edge",12928.9215686274
10,"seaice_edge",12928.9215686274
13,"seaice_edge",12928.9215686274
12,"seaice_edge",12928.9215686274
6,"seaice_edge",12928.9215686274
2,"seaice_shoreline",5805.75980392156
11,"seaice_shoreline",5805.75980392156
5,"seaice_shoreline",5805.75980392156
4,"seaice_shoreline",5805.75980392156
3,"seaice_shoreline",5805.75980392156
14,"seaice_shoreline",5805.75980392156
7,"seaice_shoreline",5805.75980392156
1,"seaice_shoreline",5805.75980392156
8,"seaice_shoreline",5805.75980392156
9,"seaice_shoreline",5805.75980392156
10,"seaice_shoreline",5805.75980392156
13,"seaice_shoreline",5805.75980392156
12,"seaice_shoreline",5805.75980392156
6,"seaice_shoreline",5805.75980392156
