"rgn_id","sciname","popn_trend"
2,"Balaenoptera acutorostrata","Stable"
11,"Balaenoptera acutorostrata","Stable"
5,"Balaenoptera acutorostrata","Stable"
4,"Balaenoptera acutorostrata","Stable"
3,"Balaenoptera acutorostrata","Stable"
14,"Balaenoptera acutorostrata","Stable"
7,"Balaenoptera acutorostrata","Stable"
1,"Balaenoptera acutorostrata","Stable"
8,"Balaenoptera acutorostrata","Stable"
9,"Balaenoptera acutorostrata","Stable"
10,"Balaenoptera acutorostrata","Stable"
13,"Balaenoptera acutorostrata","Stable"
12,"Balaenoptera acutorostrata","Stable"
6,"Balaenoptera acutorostrata","Stable"
2,"Balaenoptera physalus","Unknown"
11,"Balaenoptera physalus","Unknown"
5,"Balaenoptera physalus","Unknown"
4,"Balaenoptera physalus","Unknown"
3,"Balaenoptera physalus","Unknown"
14,"Balaenoptera physalus","Unknown"
7,"Balaenoptera physalus","Unknown"
1,"Balaenoptera physalus","Unknown"
8,"Balaenoptera physalus","Unknown"
9,"Balaenoptera physalus","Unknown"
10,"Balaenoptera physalus","Unknown"
13,"Balaenoptera physalus","Unknown"
12,"Balaenoptera physalus","Unknown"
6,"Balaenoptera physalus","Unknown"
2,"Lamna nasus","Decreasing"
11,"Lamna nasus","Decreasing"
5,"Lamna nasus","Decreasing"
4,"Lamna nasus","Decreasing"
3,"Lamna nasus","Decreasing"
14,"Lamna nasus","Decreasing"
7,"Lamna nasus","Decreasing"
1,"Lamna nasus","Decreasing"
8,"Lamna nasus","Decreasing"
9,"Lamna nasus","Decreasing"
10,"Lamna nasus","Decreasing"
13,"Lamna nasus","Decreasing"
12,"Lamna nasus","Decreasing"
6,"Lamna nasus","Decreasing"
2,"Prionace glauca","Unknown"
11,"Prionace glauca","Unknown"
5,"Prionace glauca","Unknown"
4,"Prionace glauca","Unknown"
3,"Prionace glauca","Unknown"
14,"Prionace glauca","Unknown"
7,"Prionace glauca","Unknown"
1,"Prionace glauca","Unknown"
8,"Prionace glauca","Unknown"
9,"Prionace glauca","Unknown"
10,"Prionace glauca","Unknown"
13,"Prionace glauca","Unknown"
12,"Prionace glauca","Unknown"
6,"Prionace glauca","Unknown"
