"cntry_key","sector","year","value"
"SWE","aqf",2004,2557408
"SWE","aqf",2005,3672256
"SWE","aqf",2006,4685184
"SWE","aqf",2007,5371968
"SWE","aqf",2008,5818848
"SWE","aqf",2009,4636576
"SWE","cf",2002,2622067948.416
"SWE","cf",2007,1908494909.888
"SWE","mar",2006,17956333.4
"SWE","mar",2007,17795256.781787
"SWE","mar",2008,23456711.4
"SWE","mar",2009,25353272.16
"SWE","mar",2010,23543566.98
"SWE","mar",2011,37548209.19
"SWE","og",2004,0
"SWE","og",2005,5280291.328564
"SWE","og",2006,0
"SWE","og",2007,4894587.096588
"SWE","og",2008,0
"SWE","og",2009,14614395.197444
"SWE","tour",2007,5876076642.91
"SWE","tour",2008,5607786868.42
"SWE","tour",2009,5895915783.59
"SWE","tour",2010,5911602545.98
"SWE","tour",2011,5.2972e+10
"SWE","tour",2012,5.6588e+10
